id_proyecto,nombre_proyecto,cliente,categoria_servicio,lider_proyecto,region,estado,prioridad,fecha_inicio,fecha_fin_planificada,fecha_fin_real,avance_pct,budget_usd,gasto_actual_usd,variacion_budget_pct,kpi_satisfaccion_meta,kpi_satisfaccion_actual,horas_planificadas,horas_ejecutadas,riesgo_identificado,ultima_actualizacion,notas_estado
PRJ-2025-121,Soporte & Mantenimiento — Secretaría de Salud CO,Grupo Financiero Pacífico,Soporte & Mantenimiento,María Pérez,Colombia,En curso,Alta,2025-03-29,2025-06-08,,41,213000,89700,-57.9,89,89,387,202,Alcance ampliado sin presupuesto,2025-04-28,En ejecución según plan
PRJ-2025-122,Análisis Predictivo — Clínica Santa Rosa,Energía Renovable SA,Análisis Predictivo,María Pérez,México,Completado,Media,2025-02-19,2025-06-03,2025-05-27 00:00:00,100,141000,144000,2.1,86,81,759,374,Cambio de stakeholder clave,2025-04-15,Entregado satisfactoriamente
PRJ-2025-123,Consultoría de Datos — Banco Central LATAM,Supermercados Unidos,Consultoría de Datos,Andrés García,Colombia,En riesgo,Media,2025-03-25,2025-07-02,,64,73000,50000,-31.5,96,97,604,273,Alcance ampliado sin presupuesto,2025-04-20,Requiere atención gerencial
PRJ-2025-124,Capacitación Tech — Banco Central LATAM,Secretaría de Salud CO,Capacitación Tech,Ana Martínez,Guatemala,En curso,Alta,2025-02-14,2025-05-16,,53,56000,35200,-37.1,86,87,264,684,Disponibilidad del cliente,2025-04-28,En ejecución según plan
PRJ-2025-125,Análisis Predictivo — Agencia Digital Norte,Instituto Nacional MX,Análisis Predictivo,Ana Martínez,Guatemala,En curso,Baja,2025-03-10,2025-07-28,,39,15000,7200,-52.0,85,88,318,389,Ninguno,2025-04-26,En ejecución según plan
PRJ-2025-126,Capacitación Tech — Farmacéutica Centroam,Corporación Retail Max,Capacitación Tech,Diego López,Costa Rica,Completado,Alta,2025-02-06,2025-06-10,2025-06-16 00:00:00,100,55000,51900,-5.6,94,96,257,177,Ninguno,2025-04-17,Entregado satisfactoriamente
PRJ-2025-127,Implementación BI — Hotel Cadena Pacífico,Telecomunicaciones del Sur,Implementación BI,Carlos Rodríguez,Guatemala,En curso,Baja,2025-03-26,2025-06-29,,41,181000,78400,-56.7,97,100,312,743,Dependencia tecnológica,2025-04-22,En ejecución según plan
PRJ-2025-128,Capacitación Tech — Fintech Innova,Farmacéutica Centroam,Capacitación Tech,Ana Martínez,El Salvador,Completado,Alta,2025-03-08,2025-04-25,2025-04-22 00:00:00,100,79000,77400,-2.0,94,94,527,103,Disponibilidad del cliente,2025-04-25,Entregado satisfactoriamente
PRJ-2025-129,Consultoría de Datos — Secretaría de Salud CO,Cooperativa Agrícola Sur,Consultoría de Datos,Sofía Hernández,Guatemala,Pausado,Media,2025-02-19,2025-05-07,,27,245000,80700,-67.1,89,84,196,203,Disponibilidad del cliente,2025-04-22,En espera de decisión del cliente
PRJ-2025-130,Implementación BI — Logística Global Pac,Aseguradora Continental,Implementación BI,María Pérez,El Salvador,Pausado,Media,2025-02-20,2025-08-04,,26,65000,17400,-73.2,85,85,98,407,Disponibilidad del cliente,2025-04-14,En espera de decisión del cliente
PRJ-2025-131,Capacitación Tech — Distribuidora El Pino,Banco de Desarrollo CO,Capacitación Tech,Sofía Hernández,El Salvador,En curso,Alta,2025-03-07,2025-05-15,,29,20000,5000,-75.0,88,86,524,156,Dependencia tecnológica,2025-04-22,En ejecución según plan
PRJ-2025-132,Consultoría de Datos — Hotel Cadena Pacífico,Ministerio de Hacienda SV,Consultoría de Datos,Sofía Hernández,México,Pausado,Alta,2025-03-27,2025-07-29,,41,123000,54100,-56.0,91,98,359,583,Alcance ampliado sin presupuesto,2025-04-27,En espera de decisión del cliente
PRJ-2025-133,Consultoría de Datos — Logística Global Pac,Farmacéutica Centroam,Consultoría de Datos,Diego López,Colombia,En curso,Baja,2025-02-18,2025-06-11,,33,84000,33300,-60.4,94,98,97,656,Dependencia tecnológica,2025-04-24,En ejecución según plan
PRJ-2025-134,Consultoría de Datos — Instituto Nacional MX,Manufactura Tica,Consultoría de Datos,Sofía Hernández,Costa Rica,En riesgo,Alta,2025-02-08,2025-03-14,,43,141000,70100,-50.3,97,99,699,750,Ninguno,2025-04-14,Requiere atención gerencial
PRJ-2025-135,Consultoría de Datos — Fintech Innova,Distribuidora El Pino,Consultoría de Datos,María Pérez,El Salvador,En curso,Alta,2025-02-26,2025-05-20,,28,166000,56700,-65.8,92,98,128,616,Retraso en entregables,2025-04-18,En ejecución según plan
PRJ-2025-136,Implementación BI — Corporación Retail Max,Distribuidora El Pino,Implementación BI,Carlos Rodríguez,Guatemala,En riesgo,Alta,2025-02-13,2025-07-01,,67,183000,133000,-27.3,85,65,93,480,Cambio de stakeholder clave,2025-04-14,Requiere atención gerencial
PRJ-2025-137,Análisis Predictivo — Energía Renovable SA,Manufactura Tica,Análisis Predictivo,Diego López,El Salvador,En curso,Alta,2025-03-26,2025-05-29,,56,60000,38000,-36.7,86,85,355,579,Disponibilidad del cliente,2025-04-24,En ejecución según plan
PRJ-2025-138,Implementación BI — Fintech Innova,Agencia Digital Norte,Implementación BI,Carlos Rodríguez,México,En curso,Baja,2025-03-19,2025-05-19,,24,206000,54000,-73.8,86,85,575,262,Cambio de stakeholder clave,2025-04-15,En ejecución según plan
PRJ-2025-139,Soporte & Mantenimiento — Supermercados Unidos,Aseguradora Continental,Soporte & Mantenimiento,Carlos Rodríguez,México,En curso,Baja,2025-03-26,2025-08-17,,52,143000,70700,-50.6,87,89,211,554,Alcance ampliado sin presupuesto,2025-04-19,En ejecución según plan
PRJ-2025-140,Análisis Predictivo — Banco Central LATAM,Distribuidora El Pino,Análisis Predictivo,Andrés García,Colombia,Completado,Baja,2025-03-06,2025-04-23,2025-04-20 00:00:00,100,157000,160800,2.4,87,91,164,50,Ninguno,2025-04-27,Entregado satisfactoriamente
PRJ-2025-141,Capacitación Tech — Logística Global Pac,Supermercados Unidos,Capacitación Tech,Carlos Rodríguez,El Salvador,En riesgo,Alta,2025-02-07,2025-03-30,,25,64000,19200,-70.0,86,90,344,357,Alcance ampliado sin presupuesto,2025-04-15,Requiere atención gerencial
PRJ-2025-142,Soporte & Mantenimiento — Farmacéutica Centroam,Supermercados Unidos,Soporte & Mantenimiento,Diego López,México,Pausado,Baja,2025-03-14,2025-05-31,,15,172000,23100,-86.6,85,93,123,493,Dependencia tecnológica,2025-04-24,En espera de decisión del cliente
PRJ-2025-143,Capacitación Tech — Hotel Cadena Pacífico,Logística Global Pac,Capacitación Tech,Carlos Rodríguez,Costa Rica,Completado,Baja,2025-03-12,2025-07-09,2025-07-05 00:00:00,100,104000,93800,-9.8,96,96,514,527,Alcance ampliado sin presupuesto,2025-04-19,Entregado satisfactoriamente
PRJ-2025-144,Análisis Predictivo — Secretaría de Salud CO,Clínica Santa Rosa,Análisis Predictivo,Carlos Rodríguez,Guatemala,Completado,Media,2025-02-12,2025-07-24,2025-08-08 00:00:00,100,151000,146900,-2.7,85,89,126,109,Ninguno,2025-04-23,Entregado satisfactoriamente
PRJ-2025-145,Soporte & Mantenimiento — Corporación Retail Max,Hotel Cadena Pacífico,Soporte & Mantenimiento,Sofía Hernández,El Salvador,En curso,Media,2025-03-26,2025-07-26,,42,156000,64300,-58.8,97,100,513,243,Dependencia tecnológica,2025-04-26,En ejecución según plan
PRJ-2025-146,Consultoría de Datos — Agencia Digital Norte,Clínica Santa Rosa,Consultoría de Datos,María Pérez,Colombia,En curso,Media,2025-03-13,2025-05-05,,80,115000,94000,-18.3,93,96,187,248,Cambio de stakeholder clave,2025-04-23,En ejecución según plan
PRJ-2025-147,Implementación BI — Secretaría de Salud CO,Corporación Retail Max,Implementación BI,María Pérez,México,En curso,Media,2025-02-17,2025-04-13,,20,109000,21900,-79.9,94,92,497,172,Alcance ampliado sin presupuesto,2025-04-18,En ejecución según plan
