id_oportunidad,nombre_oportunidad,cliente,categoria_servicio,vendedor_responsable,region,etapa_pipeline,valor_estimado_usd,probabilidad_cierre_pct,valor_ponderado_usd,fecha_cierre_estimada,dias_hasta_cierre,origen_lead,competidor_identificado,decision_maker,siguiente_accion,fecha_siguiente_accion,proyecto_relacionado
OPP-2025-217,Capacitación Tech — Distribuidora El Pino,Energía Renovable SA,Capacitación Tech,Andrés García,Colombia,Cierre inminente,152000,93.0,140900.0,2025-06-17,50,Marketing digital,Ninguno identificado,CEO,Esperar respuesta,2025-05-06,PRJ-2025-100
OPP-2025-218,Capacitación Tech — Corporación Retail Max,Banco Central LATAM,Capacitación Tech,Diego López,México,Prospección,282000,11.0,31200.0,2025-08-05,99,Referido de cliente,Deloitte Digital,CEO,Negociar contrato,2025-05-04,
OPP-2025-219,Análisis Predictivo — Logística Global Pac,Supermercados Unidos,Análisis Predictivo,María Pérez,El Salvador,Cierre inminente,143000,89.0,127100.0,2025-07-17,80,Referido de cliente,Ninguno identificado,Gerente de TI,Enviar propuesta técnica,2025-05-11,
OPP-2025-220,Implementación BI — Logística Global Pac,Grupo Financiero Pacífico,Implementación BI,Carlos Rodríguez,Costa Rica,Prospección,207000,14.0,28200.0,2025-07-08,71,Marketing digital,Empresa local,Gerente de TI,Reunión de demo,2025-05-12,PRJ-2025-121
OPP-2025-221,Análisis Predictivo — Energía Renovable SA,Secretaría de Salud CO,Análisis Predictivo,Andrés García,El Salvador,Prospección,145000,10.0,14500.0,2025-06-27,60,Referido de cliente,Deloitte Digital,CTO,Negociar contrato,2025-05-04,
OPP-2025-222,Consultoría de Datos — Distribuidora El Pino,Logística Global Pac,Consultoría de Datos,Ana Martínez,Guatemala,Prospección,189000,11.0,20400.0,2025-07-15,78,Marketing digital,Ninguno identificado,CTO,Presentar a stakeholders,2025-04-30,PRJ-2025-111
OPP-2025-223,Consultoría de Datos — Clínica Santa Rosa,Aseguradora Continental,Consultoría de Datos,María Pérez,Guatemala,Negociación,106000,68.0,72300.0,2025-06-19,52,Prospección directa,Ninguno identificado,Director de Datos,Seguimiento por correo,2025-05-03,
OPP-2025-224,Implementación BI — Cooperativa Agrícola Sur,Grupo Financiero Pacífico,Implementación BI,Andrés García,Guatemala,Propuesta enviada,124000,49.0,60600.0,2025-07-24,87,Marketing digital,Ninguno identificado,Gerente General,Reunión de demo,2025-04-30,
OPP-2025-225,Consultoría de Datos — Banco Central LATAM,Telecomunicaciones del Sur,Consultoría de Datos,Ana Martínez,Guatemala,Prospección,109000,8.0,8400.0,2025-09-01,126,Referido de cliente,Deloitte Digital,CTO,Enviar propuesta técnica,2025-04-30,
OPP-2025-226,Consultoría de Datos — Clínica Santa Rosa,Energía Renovable SA,Consultoría de Datos,Diego López,Colombia,Negociación,145000,73.0,105800.0,2025-06-17,50,Partner,Accenture,Gerente de TI,Reunión de demo,2025-05-06,
OPP-2025-227,Capacitación Tech — Supermercados Unidos,Banco de Desarrollo CO,Capacitación Tech,Ana Martínez,Guatemala,Calificación,47000,24.0,11100.0,2025-07-31,94,Prospección directa,Accenture,Director de Datos,Presentar a stakeholders,2025-05-04,PRJ-2025-115
OPP-2025-228,Soporte & Mantenimiento — Farmacéutica Centroam,Corporación Retail Max,Soporte & Mantenimiento,Ana Martínez,Guatemala,Propuesta enviada,146000,49.0,71000.0,2025-08-27,121,Evento/webinar,Accenture,CFO,Reunión de demo,2025-05-01,
OPP-2025-229,Capacitación Tech — Farmacéutica Centroam,Cooperativa Agrícola Sur,Capacitación Tech,María Pérez,El Salvador,Negociación,143000,66.0,94100.0,2025-05-31,33,Partner,Ninguno identificado,Gerente General,Presentar a stakeholders,2025-05-06,PRJ-2025-147
OPP-2025-230,Soporte & Mantenimiento — Instituto Nacional MX,Hotel Cadena Pacífico,Soporte & Mantenimiento,Sofía Hernández,Colombia,Cierre inminente,273000,89.0,244100.0,2025-07-11,74,Prospección directa,Empresa local,Director de Datos,Enviar propuesta técnica,2025-05-01,
OPP-2025-231,Consultoría de Datos — Aseguradora Continental,Cooperativa Agrícola Sur,Consultoría de Datos,María Pérez,Colombia,Prospección,128000,14.0,17700.0,2025-09-25,150,Marketing digital,Accenture,CEO,Seguimiento por correo,2025-05-01,PRJ-2025-138
OPP-2025-232,Consultoría de Datos — Clínica Santa Rosa,Aseguradora Continental,Consultoría de Datos,Carlos Rodríguez,Colombia,Prospección,109000,13.0,13700.0,2025-07-16,79,Marketing digital,Empresa local,Gerente de TI,Reunión de demo,2025-05-04,
OPP-2025-233,Implementación BI — Cooperativa Agrícola Sur,Secretaría de Salud CO,Implementación BI,Ana Martínez,Colombia,Calificación,150000,23.0,34200.0,2025-10-16,171,Partner,Deloitte Digital,Gerente de TI,Negociar contrato,2025-05-09,
OPP-2025-234,Implementación BI — Instituto Nacional MX,Ministerio de Hacienda SV,Implementación BI,Ana Martínez,México,Calificación,163000,28.0,44800.0,2025-09-23,148,Referido de cliente,Ninguno identificado,CFO,Presentar a stakeholders,2025-05-07,
OPP-2025-235,Consultoría de Datos — Energía Renovable SA,Hotel Cadena Pacífico,Consultoría de Datos,Sofía Hernández,Guatemala,Prospección,270000,13.0,36300.0,2025-10-15,170,Prospección directa,Accenture,Director de Datos,Enviar propuesta técnica,2025-05-06,
OPP-2025-236,Capacitación Tech — Secretaría de Salud CO,Cooperativa Agrícola Sur,Capacitación Tech,Andrés García,Colombia,Calificación,266000,29.0,78300.0,2025-08-23,117,Referido de cliente,Empresa local,CTO,Seguimiento por correo,2025-05-08,PRJ-2025-138
OPP-2025-237,Análisis Predictivo — Corporación Retail Max,Energía Renovable SA,Análisis Predictivo,Andrés García,Guatemala,Calificación,173000,21.0,36400.0,2025-05-19,21,Marketing digital,Empresa local,CFO,Reunión de demo,2025-05-08,
OPP-2025-238,Consultoría de Datos — Ministerio de Hacienda SV,Grupo Financiero Pacífico,Consultoría de Datos,Carlos Rodríguez,Guatemala,Calificación,203000,28.0,57200.0,2025-09-08,133,Partner,Accenture,CTO,Seguimiento por correo,2025-05-01,
OPP-2025-239,Soporte & Mantenimiento — Corporación Retail Max,Telecomunicaciones del Sur,Soporte & Mantenimiento,Ana Martínez,México,Prospección,299000,9.0,27700.0,2025-07-28,91,Evento/webinar,Deloitte Digital,CFO,Presentar a stakeholders,2025-04-30,
OPP-2025-240,Implementación BI — Distribuidora El Pino,Secretaría de Salud CO,Implementación BI,Diego López,Costa Rica,Propuesta enviada,250000,42.0,105000.0,2025-10-03,158,Partner,EY Parthenon,Gerente General,Reunión de demo,2025-05-06,
OPP-2025-241,Implementación BI — Agencia Digital Norte,Clínica Santa Rosa,Implementación BI,Ana Martínez,Costa Rica,Prospección,245000,10.0,24100.0,2025-08-16,110,Partner,Accenture,CFO,Seguimiento por correo,2025-05-07,PRJ-2025-101
OPP-2025-242,Capacitación Tech — Farmacéutica Centroam,Telecomunicaciones del Sur,Capacitación Tech,Diego López,Costa Rica,Negociación,226000,70.0,158900.0,2025-07-26,89,Evento/webinar,Ninguno identificado,CTO,Reunión de demo,2025-05-02,
OPP-2025-243,Soporte & Mantenimiento — Distribuidora El Pino,Agencia Digital Norte,Soporte & Mantenimiento,Andrés García,México,Negociación,95000,66.0,63100.0,2025-05-29,31,Referido de cliente,Empresa local,Director de Datos,Esperar respuesta,2025-05-06,
OPP-2025-244,Implementación BI — Banco Central LATAM,Distribuidora El Pino,Implementación BI,María Pérez,México,Propuesta enviada,214000,49.0,105000.0,2025-06-16,49,Prospección directa,EY Parthenon,CEO,Enviar propuesta técnica,2025-05-02,
OPP-2025-245,Capacitación Tech — Banco Central LATAM,Telecomunicaciones del Sur,Capacitación Tech,María Pérez,Costa Rica,Calificación,208000,29.0,60800.0,2025-06-22,55,Referido de cliente,Empresa local,Gerente General,Negociar contrato,2025-05-07,PRJ-2025-129
OPP-2025-246,Consultoría de Datos — Supermercados Unidos,Agencia Digital Norte,Consultoría de Datos,Sofía Hernández,El Salvador,Cierre inminente,31000,90.0,27800.0,2025-05-21,23,Prospección directa,Ninguno identificado,CEO,Presentar a stakeholders,2025-05-06,
OPP-2025-247,Soporte & Mantenimiento — Fintech Innova,Cooperativa Agrícola Sur,Soporte & Mantenimiento,Carlos Rodríguez,Guatemala,Negociación,25000,67.0,16800.0,2025-05-12,14,Prospección directa,Ninguno identificado,Gerente de TI,Negociar contrato,2025-04-30,
OPP-2025-248,Consultoría de Datos — Aseguradora Continental,Agencia Digital Norte,Consultoría de Datos,Carlos Rodríguez,Guatemala,Propuesta enviada,82000,41.0,33300.0,2025-09-25,150,Marketing digital,Ninguno identificado,CFO,Esperar respuesta,2025-05-01,
OPP-2025-249,Análisis Predictivo — Supermercados Unidos,Corporación Retail Max,Análisis Predictivo,María Pérez,Colombia,Calificación,109000,24.0,26000.0,2025-10-05,160,Referido de cliente,Ninguno identificado,CEO,Reunión de demo,2025-05-09,PRJ-2025-120
OPP-2025-250,Consultoría de Datos — Distribuidora El Pino,Cooperativa Agrícola Sur,Consultoría de Datos,Diego López,Colombia,Prospección,75000,9.0,7000.0,2025-05-15,17,Marketing digital,Deloitte Digital,Gerente General,Enviar propuesta técnica,2025-05-04,
OPP-2025-251,Implementación BI — Hotel Cadena Pacífico,Clínica Santa Rosa,Implementación BI,Diego López,El Salvador,Propuesta enviada,80000,48.0,38100.0,2025-05-22,24,Marketing digital,Ninguno identificado,CEO,Negociar contrato,2025-05-01,PRJ-2025-115
OPP-2025-252,Consultoría de Datos — Cooperativa Agrícola Sur,Corporación Retail Max,Consultoría de Datos,Sofía Hernández,Costa Rica,Calificación,280000,21.0,58400.0,2025-09-01,126,Referido de cliente,Ninguno identificado,CFO,Reunión de demo,2025-05-10,
OPP-2025-253,Análisis Predictivo — Manufactura Tica,Telecomunicaciones del Sur,Análisis Predictivo,Carlos Rodríguez,Costa Rica,Negociación,174000,75.0,130000.0,2025-06-03,36,Evento/webinar,Ninguno identificado,CFO,Negociar contrato,2025-05-09,PRJ-2025-137
OPP-2025-254,Análisis Predictivo — Banco de Desarrollo CO,Banco Central LATAM,Análisis Predictivo,Carlos Rodríguez,Costa Rica,Cierre inminente,256000,94.0,239700.0,2025-05-16,18,Referido de cliente,Accenture,CFO,Negociar contrato,2025-05-07,
OPP-2025-255,Implementación BI — Farmacéutica Centroam,Fintech Innova,Implementación BI,María Pérez,México,Cierre inminente,204000,92.0,187800.0,2025-05-23,25,Marketing digital,Ninguno identificado,CTO,Enviar propuesta técnica,2025-05-08,
OPP-2025-256,Capacitación Tech — Aseguradora Continental,Secretaría de Salud CO,Capacitación Tech,Ana Martínez,El Salvador,Calificación,130000,23.0,29900.0,2025-06-05,38,Marketing digital,Empresa local,CEO,Presentar a stakeholders,2025-05-12,
OPP-2025-257,Implementación BI — Grupo Financiero Pacífico,Banco Central LATAM,Implementación BI,Sofía Hernández,El Salvador,Negociación,96000,67.0,64400.0,2025-07-14,77,Evento/webinar,Ninguno identificado,CEO,Esperar respuesta,2025-05-04,
OPP-2025-258,Implementación BI — Ministerio de Hacienda SV,Logística Global Pac,Implementación BI,Ana Martínez,México,Negociación,134000,72.0,97000.0,2025-07-14,77,Referido de cliente,Accenture,Gerente General,Enviar propuesta técnica,2025-04-30,PRJ-2025-138
OPP-2025-259,Consultoría de Datos — Secretaría de Salud CO,Telecomunicaciones del Sur,Consultoría de Datos,María Pérez,Guatemala,Cierre inminente,211000,87.0,183200.0,2025-07-09,72,Marketing digital,Ninguno identificado,Director de Datos,Seguimiento por correo,2025-05-01,
OPP-2025-260,Implementación BI — Clínica Santa Rosa,Fintech Innova,Implementación BI,María Pérez,Costa Rica,Propuesta enviada,204000,45.0,90900.0,2025-07-18,81,Partner,Deloitte Digital,Gerente General,Seguimiento por correo,2025-05-10,PRJ-2025-108
OPP-2025-261,Análisis Predictivo — Instituto Nacional MX,Cooperativa Agrícola Sur,Análisis Predictivo,Sofía Hernández,México,Calificación,294000,24.0,71100.0,2025-07-19,82,Marketing digital,EY Parthenon,CFO,Negociar contrato,2025-05-01,
OPP-2025-262,Análisis Predictivo — Instituto Nacional MX,Corporación Retail Max,Análisis Predictivo,Diego López,Guatemala,Prospección,227000,12.0,26600.0,2025-07-01,64,Evento/webinar,Accenture,Gerente de TI,Presentar a stakeholders,2025-05-06,
OPP-2025-263,Consultoría de Datos — Farmacéutica Centroam,Grupo Financiero Pacífico,Consultoría de Datos,Ana Martínez,El Salvador,Propuesta enviada,286000,47.0,134000.0,2025-10-15,170,Marketing digital,Ninguno identificado,Director de Datos,Reunión de demo,2025-05-08,
OPP-2025-264,Análisis Predictivo — Corporación Retail Max,Corporación Retail Max,Análisis Predictivo,Ana Martínez,Colombia,Negociación,177000,71.0,125300.0,2025-06-20,53,Prospección directa,Deloitte Digital,Director de Datos,Reunión de demo,2025-05-09,PRJ-2025-109
