fecha,id_transaccion,dia_semana,categoria_servicio,producto_servicio,canal_venta,vendedor,region,segmento_cliente,nombre_cliente,unidades,precio_unitario,ventas_semana_actual,costo_total,margen_bruto,margen_bruto_pct,ventas_semana_anterior,variacion_pct
2025-04-26,TC-2025-10038,Saturday,Capacitación Tech,Workshop Power BI Avanzado,Directo,Carlos Rodríguez,México,Mid Market,Agencia Digital Norte,3,2084.26,6252.78,1856.13,4396.65,70.32,5955.66,4.99
2025-04-26,TC-2025-10039,Saturday,Implementación BI,Dashboard Ejecutivo Custom,Partner,Roberto Morales,Colombia,Mid Market,Agencia Digital Norte,4,9049.16,36196.64,11892.08,24304.56,67.15,40769.72,-11.22
2025-04-21,TC-2025-10040,Monday,Consultoría de Datos,Data Strategy & Roadmap,Digital,Camila Jiménez,El Salvador,SMB,Eventos Premium CO,1,9819.55,9819.55,3006.14,6813.41,69.39,8558.78,14.73
2025-04-27,TC-2025-10041,Sunday,Análisis Predictivo,Detección de Anomalías,Referidos,Luis Ramírez,México,Gobierno,Ministerio de Educación GT,3,13197.47,39592.41,13045.29,26547.12,67.05,36669.35,7.97
2025-04-27,TC-2025-10042,Sunday,Implementación BI,Tableau Implementation,Digital,Diego López,México,Enterprise,Aseguradora Continental,8,14716.74,117733.92,44892.32,72841.6,61.87,124712.0,-5.6
2025-04-22,TC-2025-10043,Tuesday,Consultoría de Datos,Data Quality Framework,Directo,Carlos Rodríguez,Guatemala,SMB,Servicios Técnicos CR,1,5770.48,5770.48,1841.68,3928.8,68.08,5098.5,13.18
2025-04-27,TC-2025-10044,Sunday,Implementación BI,Looker Studio Pro,Partner,Valentina Torres,Guatemala,Enterprise,Farmacéutica Centroam,6,12802.0,76812.0,23262.78,53549.22,69.71,89549.71,-14.22
2025-04-26,TC-2025-10045,Saturday,Análisis Predictivo,Scoring de Crédito,Directo,Valentina Torres,Guatemala,SMB,Academia Digital SV,1,16936.74,16936.74,6167.49,10769.25,63.59,14693.77,15.26
2025-04-21,TC-2025-10046,Monday,Implementación BI,Dashboard Ejecutivo Custom,Digital,Roberto Morales,Colombia,Gobierno,INSAFORP El Salvador,2,9306.6,18613.2,6361.7,12251.5,65.82,19092.47,-2.51
2025-04-23,TC-2025-10047,Wednesday,Implementación BI,Dashboard Ejecutivo Custom,Directo,Luis Ramírez,Guatemala,Mid Market,Cooperativa Agrícola Sur,4,8478.6,33914.4,13295.2,20619.2,60.8,36800.86,-7.84
2025-04-26,TC-2025-10048,Saturday,Soporte & Mantenimiento,Licencias Power BI Pro,Directo,Andrés García,México,Gobierno,Alcaldía de San Salvador,1,947.21,947.21,696.51,250.7,26.47,957.03,-1.03
2025-04-25,TC-2025-10049,Friday,Soporte & Mantenimiento,SLA Estándar,Digital,Luis Ramírez,México,Enterprise,Grupo Financiero Pacífico,3,1835.12,5505.36,1787.46,3717.9,67.53,5232.89,5.21
2025-04-23,TC-2025-10050,Wednesday,Análisis Predictivo,Modelo de Churn Prediction,Digital,Roberto Morales,El Salvador,Mid Market,Distribuidora El Pino,4,14984.94,59939.76,23998.12,35941.64,59.96,48585.58,23.37
2025-04-27,TC-2025-10051,Sunday,Capacitación Tech,Workshop Python Analytics,Directo,Roberto Morales,Colombia,SMB,Boutique Moda Latina,1,2460.4,2460.4,741.41,1718.99,69.87,2483.97,-0.95
2025-04-26,TC-2025-10052,Saturday,Análisis Predictivo,Segmentación de Clientes IA,Directo,Valentina Torres,Guatemala,Mid Market,Cooperativa Agrícola Sur,4,13106.31,52425.24,18210.08,34215.16,65.26,47292.46,10.85
2025-04-27,TC-2025-10053,Sunday,Soporte & Mantenimiento,Dashboard Maintenance,Partner,Luis Ramírez,Costa Rica,SMB,Tienda Electrónica SV,2,1465.04,2930.08,978.46,1951.62,66.61,3042.56,-3.7
2025-04-21,TC-2025-10054,Monday,Implementación BI,Dashboard Ejecutivo Custom,Directo,Valentina Torres,México,Mid Market,Cooperativa Agrícola Sur,4,9990.52,39962.08,11768.76,28193.32,70.55,41891.64,-4.61
2025-04-25,TC-2025-10055,Friday,Capacitación Tech,Workshop SQL Avanzado,Directo,Camila Jiménez,México,SMB,Restaurantes La Plaza,1,1630.23,1630.23,559.01,1071.22,65.71,1677.58,-2.82
2025-04-22,TC-2025-10056,Tuesday,Capacitación Tech,Bootcamp Data Science,Partner,Carlos Rodríguez,México,SMB,Transporte Rápido,2,4893.91,9787.82,2616.28,7171.54,73.27,10222.21,-4.25
2025-04-23,TC-2025-10057,Wednesday,Análisis Predictivo,Detección de Anomalías,Directo,Andrés García,Costa Rica,Mid Market,Importadora Centroam,3,10987.34,32962.02,12398.82,20563.2,62.38,27252.81,20.95
2025-04-26,TC-2025-10058,Saturday,Consultoría de Datos,Data Maturity Assessment,Referidos,Luis Ramírez,México,Enterprise,Aseguradora Continental,6,5278.42,31670.52,9637.86,22032.66,69.57,28306.4,11.88
2025-04-23,TC-2025-10059,Wednesday,Consultoría de Datos,Data Governance Assessment,Directo,Camila Jiménez,Guatemala,Mid Market,Educativa Futuro,1,7268.19,7268.19,2117.93,5150.26,70.86,6942.38,4.69
2025-04-23,TC-2025-10060,Wednesday,Consultoría de Datos,Arquitectura de Datos,Directo,Luis Ramírez,El Salvador,Enterprise,Constructora Progreso,3,10760.77,32282.31,10372.29,21910.02,67.87,31620.99,2.09
2025-04-22,TC-2025-10061,Tuesday,Consultoría de Datos,Data Strategy & Roadmap,Partner,Ana Martínez,El Salvador,Mid Market,Educativa Futuro,3,7697.21,23091.63,9213.21,13878.42,60.1,21579.81,7.01
2025-04-23,TC-2025-10062,Wednesday,Implementación BI,Data Warehouse Setup,Digital,Luis Ramírez,El Salvador,Mid Market,Importadora Centroam,4,17974.86,71899.44,29357.68,42541.76,59.17,80396.29,-10.57
2025-04-25,TC-2025-10063,Friday,Capacitación Tech,Workshop Python Analytics,Partner,Diego López,Guatemala,Enterprise,Telecomunicaciones del Sur,2,2317.4,4634.8,1478.04,3156.76,68.11,4922.92,-5.85
2025-04-26,TC-2025-10064,Saturday,Análisis Predictivo,Modelo de Churn Prediction,Directo,Luis Ramírez,Colombia,SMB,Boutique Moda Latina,1,17357.6,17357.6,6067.1,11290.5,65.05,15395.58,12.74
2025-04-21,TC-2025-10065,Monday,Análisis Predictivo,Forecasting de Ventas ML,Partner,María Pérez,México,Mid Market,Educativa Futuro,1,12551.99,12551.99,5039.93,7512.06,59.85,11349.54,10.59
2025-04-25,TC-2025-10066,Friday,Análisis Predictivo,Segmentación de Clientes IA,Partner,Valentina Torres,México,Mid Market,Manufactura Tica,4,12135.93,48543.72,18688.6,29855.12,61.5,44842.06,8.25
2025-04-21,TC-2025-10067,Monday,Capacitación Tech,Certificación BI Analista,Directo,Roberto Morales,El Salvador,Gobierno,Ministerio de Educación GT,3,3604.56,10813.68,2915.13,7898.55,73.04,11617.43,-6.92
2025-04-26,TC-2025-10068,Saturday,Consultoría de Datos,Data Maturity Assessment,Digital,Roberto Morales,Costa Rica,Enterprise,Farmacéutica Centroam,8,4623.83,36990.64,11962.88,25027.76,67.66,33417.4,10.69
2025-04-27,TC-2025-10069,Sunday,Implementación BI,Power BI Enterprise,Referidos,María Pérez,Guatemala,SMB,Tienda Electrónica SV,1,12705.6,12705.6,4657.55,8048.05,63.34,13567.4,-6.35
2025-04-24,TC-2025-10070,Thursday,Soporte & Mantenimiento,Licencias Power BI Pro,Referidos,Camila Jiménez,Colombia,Enterprise,Constructora Progreso,2,795.83,1591.66,1329.92,261.74,16.44,1608.71,-1.06
2025-04-21,TC-2025-10071,Monday,Análisis Predictivo,Modelo de Churn Prediction,Directo,Luis Ramírez,México,Gobierno,Dirección General de Aduanas,1,17579.16,17579.16,5901.03,11678.13,66.43,14648.6,20.01
2025-04-21,TC-2025-10072,Monday,Consultoría de Datos,Data Maturity Assessment,Directo,Carlos Rodríguez,Guatemala,Enterprise,Constructora Progreso,7,5083.39,35583.73,11197.06,24386.67,68.53,34089.76,4.38
2025-04-22,TC-2025-10073,Tuesday,Análisis Predictivo,Segmentación de Clientes IA,Partner,Luis Ramírez,México,Mid Market,Agroexport SA,4,11246.2,44984.8,18692.56,26292.24,58.45,40658.7,10.64
2025-04-27,TC-2025-10074,Sunday,Consultoría de Datos,Data Strategy & Roadmap,Directo,Camila Jiménez,Colombia,Mid Market,Manufactura Tica,1,8201.24,8201.24,3096.86,5104.38,62.24,7699.37,6.52
2025-04-27,TC-2025-10075,Sunday,Soporte & Mantenimiento,Licencias Power BI Pro,Referidos,Andrés García,Guatemala,Mid Market,Agroexport SA,4,864.11,3456.44,2642.44,814.0,23.55,3188.6,8.4
2025-04-26,TC-2025-10076,Saturday,Capacitación Tech,Certificación BI Analista,Directo,Andrés García,Colombia,Mid Market,Importadora Centroam,4,3186.64,12746.56,3940.56,8806.0,69.09,13815.16,-7.73
2025-04-27,TC-2025-10077,Sunday,Soporte & Mantenimiento,Licencias Power BI Pro,Referidos,Andrés García,El Salvador,Gobierno,SIECA Guatemala,2,773.43,1546.86,1449.32,97.54,6.31,1385.35,11.66
2025-04-26,TC-2025-10078,Saturday,Consultoría de Datos,Data Governance Assessment,Directo,Roberto Morales,Colombia,Enterprise,Farmacéutica Centroam,2,7040.28,14080.56,4436.78,9643.78,68.49,13787.15,2.13
2025-04-25,TC-2025-10079,Friday,Implementación BI,Looker Studio Pro,Partner,Camila Jiménez,Costa Rica,Mid Market,Distribuidora El Pino,1,10454.74,10454.74,4323.92,6130.82,58.64,11097.89,-5.8
2025-04-22,TC-2025-10080,Tuesday,Implementación BI,Power BI Enterprise,Partner,Carlos Rodríguez,El Salvador,Mid Market,Importadora Centroam,3,14387.84,43163.52,13353.96,29809.56,69.06,49679.93,-13.12
2025-04-22,TC-2025-10081,Tuesday,Implementación BI,Looker Studio Pro,Partner,Sofía Hernández,El Salvador,Mid Market,Educativa Futuro,1,11691.32,11691.32,4121.07,7570.25,64.75,13224.06,-11.59
2025-04-27,TC-2025-10082,Sunday,Análisis Predictivo,Detección de Anomalías,Directo,María Pérez,México,Enterprise,Banco Central LATAM,5,13229.17,66145.85,22625.2,43520.65,65.79,54370.51,21.66
2025-04-27,TC-2025-10083,Sunday,Implementación BI,Looker Studio Pro,Referidos,María Pérez,Guatemala,Gobierno,Dirección General de Aduanas,2,10337.42,20674.84,8245.02,12429.82,60.12,22658.56,-8.75
2025-04-23,TC-2025-10084,Wednesday,Implementación BI,Data Warehouse Setup,Directo,Ana Martínez,Guatemala,SMB,Tienda Electrónica SV,1,19420.91,19420.91,7414.04,12006.87,61.82,22177.12,-12.43
2025-04-27,TC-2025-10085,Sunday,Consultoría de Datos,Data Maturity Assessment,Digital,Diego López,Colombia,Gobierno,Ministerio de Educación GT,2,4255.66,8511.32,3041.34,5469.98,64.27,7566.41,12.49
2025-04-21,TC-2025-10086,Monday,Capacitación Tech,Workshop Python Analytics,Partner,María Pérez,Costa Rica,Mid Market,Importadora Centroam,3,2749.27,8247.81,2102.46,6145.35,74.51,8224.15,0.29
2025-04-25,TC-2025-10087,Friday,Capacitación Tech,Workshop Python Analytics,Directo,Andrés García,Colombia,SMB,Academia Digital SV,2,2822.85,5645.7,1441.68,4204.02,74.46,6122.68,-7.79
2025-04-27,TC-2025-10088,Sunday,Análisis Predictivo,Segmentación de Clientes IA,Digital,Carlos Rodríguez,Guatemala,Enterprise,Telecomunicaciones del Sur,3,13656.51,40969.53,14295.06,26674.47,65.11,38361.4,6.8
2025-04-24,TC-2025-10089,Thursday,Soporte & Mantenimiento,Soporte Técnico On-site,Directo,Camila Jiménez,Colombia,Enterprise,Grupo Financiero Pacífico,4,3029.18,12116.72,4028.08,8088.64,66.76,11922.97,1.63
2025-04-25,TC-2025-10090,Friday,Soporte & Mantenimiento,Dashboard Maintenance,Directo,Camila Jiménez,El Salvador,Enterprise,Energía Renovable SA,3,1611.44,4834.32,1563.15,3271.17,67.67,4666.68,3.59
2025-04-21,TC-2025-10091,Monday,Capacitación Tech,Bootcamp Data Science,Directo,Luis Ramírez,El Salvador,Enterprise,Grupo Financiero Pacífico,3,5157.8,15473.4,3813.9,11659.5,75.35,15833.64,-2.28
2025-04-27,TC-2025-10092,Sunday,Capacitación Tech,Certificación BI Analista,Partner,Valentina Torres,Colombia,Enterprise,Grupo Financiero Pacífico,5,3407.03,17035.15,5137.2,11897.95,69.84,16943.1,0.54
2025-04-25,TC-2025-10093,Friday,Capacitación Tech,Workshop Python Analytics,Partner,Carlos Rodríguez,Costa Rica,SMB,Consultora Local MX,2,2245.41,4490.82,1446.22,3044.6,67.8,4976.54,-9.76
2025-04-27,TC-2025-10094,Sunday,Soporte & Mantenimiento,Licencias Power BI Pro,Directo,Ana Martínez,El Salvador,Mid Market,Distribuidora El Pino,3,810.11,2430.33,1917.9,512.43,21.08,2383.92,1.95
2025-04-27,TC-2025-10095,Sunday,Consultoría de Datos,Data Maturity Assessment,Directo,Andrés García,El Salvador,SMB,Servicios Técnicos CR,1,4334.32,4334.32,1723.91,2610.41,60.23,4326.31,0.19
2025-04-25,TC-2025-10096,Friday,Análisis Predictivo,Forecasting de Ventas ML,Directo,Andrés García,Colombia,Enterprise,Corporación Retail Max,4,11943.91,47775.64,20019.16,27756.48,58.1,39063.08,22.3
2025-04-21,TC-2025-10097,Monday,Implementación BI,Power BI Enterprise,Digital,Camila Jiménez,México,SMB,PyME Tech,2,12889.4,25778.8,10284.16,15494.64,60.11,26258.64,-1.83
2025-04-24,TC-2025-10098,Thursday,Capacitación Tech,Certificación BI Analista,Directo,Luis Ramírez,México,Enterprise,Farmacéutica Centroam,7,2919.64,20437.48,6948.34,13489.14,66.0,20879.31,-2.12
2025-04-26,TC-2025-10099,Saturday,Soporte & Mantenimiento,Dashboard Maintenance,Partner,Roberto Morales,El Salvador,Enterprise,Logística Global Pac,4,1491.41,5965.64,2071.8,3893.84,65.27,5601.81,6.49
2025-04-24,TC-2025-10100,Thursday,Análisis Predictivo,Scoring de Crédito,Directo,Camila Jiménez,Colombia,SMB,Panadería Industrial GT,2,18916.05,37832.1,12623.5,25208.6,66.63,34620.88,9.28
2025-04-21,TC-2025-10101,Monday,Implementación BI,Power BI Enterprise,Directo,Sofía Hernández,Guatemala,Enterprise,Constructora Progreso,2,14119.14,28238.28,8975.2,19263.08,68.22,29028.03,-2.72
2025-04-24,TC-2025-10102,Thursday,Capacitación Tech,Workshop Python Analytics,Partner,Andrés García,México,Mid Market,Clínica Santa Rosa,3,2855.21,8565.63,2408.82,6156.81,71.88,8721.66,-1.79
2025-04-22,TC-2025-10103,Tuesday,Soporte & Mantenimiento,SLA Premium 24/7,Referidos,Roberto Morales,México,Mid Market,Agroexport SA,2,3769.57,7539.14,2294.12,5245.02,69.57,6860.73,9.89
2025-04-27,TC-2025-10104,Sunday,Soporte & Mantenimiento,Dashboard Maintenance,Directo,Valentina Torres,Guatemala,Enterprise,Logística Global Pac,8,1599.78,12798.24,4194.24,8604.0,67.23,12538.28,2.07
2025-04-21,TC-2025-10105,Monday,Análisis Predictivo,Segmentación de Clientes IA,Directo,Andrés García,Guatemala,SMB,Consultora Local MX,1,13691.51,13691.51,4648.81,9042.7,66.05,11716.66,16.86
2025-04-22,TC-2025-10106,Tuesday,Consultoría de Datos,Data Strategy & Roadmap,Directo,Luis Ramírez,México,Mid Market,Cooperativa Agrícola Sur,3,8274.68,24824.04,9330.24,15493.8,62.41,24608.56,0.88
2025-04-24,TC-2025-10107,Thursday,Análisis Predictivo,Modelo de Churn Prediction,Directo,Carlos Rodríguez,Colombia,Enterprise,Aseguradora Continental,7,15108.07,105756.49,41295.59,64460.9,60.95,90699.47,16.6
2025-04-25,TC-2025-10108,Friday,Implementación BI,Data Warehouse Setup,Directo,Roberto Morales,Guatemala,Enterprise,Constructora Progreso,7,17991.73,125942.11,48146.28,77795.83,61.77,149125.33,-15.55
2025-04-23,TC-2025-10109,Wednesday,Consultoría de Datos,Data Governance Assessment,Directo,María Pérez,El Salvador,Enterprise,Aseguradora Continental,2,5470.38,10940.76,4366.0,6574.76,60.09,9604.68,13.91
2025-04-27,TC-2025-10110,Sunday,Implementación BI,Tableau Implementation,Partner,Carlos Rodríguez,Colombia,SMB,Tienda Electrónica SV,1,14354.3,14354.3,5464.58,8889.72,61.93,14708.55,-2.41
2025-04-21,TC-2025-10111,Monday,Implementación BI,Dashboard Ejecutivo Custom,Partner,Carlos Rodríguez,Colombia,Mid Market,Hotel Cadena Pacífico,3,8197.75,24593.25,9966.06,14627.19,59.48,26853.0,-8.42
2025-04-25,TC-2025-10112,Friday,Capacitación Tech,Workshop SQL Avanzado,Directo,Roberto Morales,Colombia,Enterprise,Farmacéutica Centroam,2,1797.71,3595.42,1047.22,2548.2,70.87,3611.44,-0.44
2025-04-23,TC-2025-10113,Wednesday,Implementación BI,Tableau Implementation,Directo,Diego López,México,Mid Market,Cooperativa Agrícola Sur,2,13502.51,27005.02,10377.74,16627.28,61.57,28238.45,-4.37
2025-04-24,TC-2025-10114,Thursday,Análisis Predictivo,Modelo de Churn Prediction,Directo,Roberto Morales,Colombia,Mid Market,Fintech Innova,3,17089.11,51267.33,17754.18,33513.15,65.37,42090.62,21.8
2025-04-21,TC-2025-10115,Monday,Consultoría de Datos,Arquitectura de Datos,Partner,Andrés García,Colombia,Mid Market,Agroexport SA,3,9370.41,28111.23,10000.98,18110.25,64.42,25482.26,10.32
2025-04-24,TC-2025-10116,Thursday,Implementación BI,Power BI Enterprise,Partner,Camila Jiménez,México,Mid Market,Distribuidora El Pino,2,12205.73,24411.46,9562.56,14848.9,60.83,25327.23,-3.62
2025-04-26,TC-2025-10117,Saturday,Consultoría de Datos,Data Strategy & Roadmap,Digital,Carlos Rodríguez,Colombia,Gobierno,INSAFORP El Salvador,1,7579.81,7579.81,3306.3,4273.51,56.38,7569.69,0.13
2025-04-26,TC-2025-10118,Saturday,Análisis Predictivo,Detección de Anomalías,Directo,Valentina Torres,Guatemala,Enterprise,Energía Renovable SA,6,10300.66,61803.96,26952.84,34851.12,56.39,52320.75,18.13
2025-04-23,TC-2025-10119,Wednesday,Implementación BI,Data Warehouse Setup,Digital,Roberto Morales,Guatemala,SMB,Servicios Técnicos CR,1,19514.2,19514.2,6786.93,12727.27,65.22,20928.9,-6.76
2025-04-26,TC-2025-10120,Saturday,Soporte & Mantenimiento,Licencias Power BI Pro,Directo,Camila Jiménez,Colombia,Enterprise,Farmacéutica Centroam,8,831.76,6654.08,5116.0,1538.08,23.11,6669.93,-0.24
2025-04-23,TC-2025-10121,Wednesday,Soporte & Mantenimiento,Soporte Técnico On-site,Directo,Ana Martínez,México,Mid Market,Cooperativa Agrícola Sur,2,3262.98,6525.96,1910.36,4615.6,70.73,6605.7,-1.21
2025-04-27,TC-2025-10122,Sunday,Consultoría de Datos,Data Governance Assessment,Directo,Camila Jiménez,Guatemala,SMB,Academia Digital SV,1,6687.19,6687.19,2226.47,4460.72,66.71,6308.78,6.0
2025-04-21,TC-2025-10123,Monday,Análisis Predictivo,Forecasting de Ventas ML,Directo,Sofía Hernández,Colombia,SMB,Eventos Premium CO,2,13355.41,26710.82,10765.4,15945.42,59.7,24971.93,6.96
2025-04-23,TC-2025-10124,Wednesday,Análisis Predictivo,Scoring de Crédito,Directo,Luis Ramírez,El Salvador,Gobierno,Alcaldía de San Salvador,3,19208.29,57624.87,20688.21,36936.66,64.1,49801.36,15.71
